,poker,sports betting,casino,online casino,Bet365,Primedice,betting,flashscore,blackjack,Vegas Casino Online
2020-02-02,48.0,48.0,43.0,22.0,99.0,0.0,60.0,39.0,47.0,0.0
2020-02-03,46.0,40.0,31.0,0.0,49.0,0.0,25.0,32.0,39.0,0.0
2020-02-04,40.0,0.0,37.0,20.0,36.0,0.0,36.0,88.0,0.0,0.0
2020-02-05,49.0,44.0,35.0,41.0,36.0,0.0,18.0,89.0,32.0,0.0
2020-02-06,30.0,0.0,39.0,20.0,31.0,0.0,27.0,0.0,21.0,0.0
2020-02-07,37.0,0.0,37.0,39.0,52.0,0.0,35.0,34.0,20.0,0.0
2020-02-08,38.0,0.0,62.0,48.0,95.0,100.0,21.0,42.0,100.0,0.0
2020-02-09,34.0,0.0,50.0,0.0,55.0,0.0,30.0,59.0,72.0,0.0
2020-02-10,37.0,0.0,37.0,30.0,27.0,0.0,36.0,35.0,21.0,0.0
2020-02-11,37.0,43.0,42.0,40.0,40.0,0.0,36.0,70.0,21.0,0.0
2020-02-12,41.0,88.0,38.0,20.0,14.0,0.0,54.0,53.0,21.0,90.0
2020-02-13,41.0,44.0,43.0,20.0,31.0,0.0,36.0,35.0,21.0,0.0
2020-02-14,36.0,44.0,54.0,31.0,48.0,0.0,27.0,36.0,21.0,0.0
2020-02-15,38.0,0.0,61.0,23.0,45.0,0.0,20.0,0.0,24.0,0.0
2020-02-16,67.0,0.0,50.0,33.0,84.0,0.0,49.0,39.0,39.0,0.0
2020-02-17,36.0,0.0,39.0,39.0,17.0,0.0,18.0,0.0,48.0,0.0
2020-02-18,37.0,42.0,33.0,19.0,38.0,0.0,26.0,0.0,34.0,0.0
2020-02-19,40.0,0.0,39.0,0.0,26.0,0.0,0.0,34.0,20.0,0.0
2020-02-20,47.0,0.0,44.0,20.0,44.0,0.0,17.0,34.0,21.0,0.0
2020-02-21,38.0,43.0,39.0,0.0,31.0,0.0,45.0,35.0,21.0,89.0
2020-02-22,78.0,0.0,55.0,22.0,84.0,0.0,30.0,39.0,35.0,0.0
2020-02-23,76.0,47.0,43.0,65.0,39.0,0.0,39.0,63.0,23.0,0.0
2020-02-24,32.0,42.0,37.0,19.0,47.0,0.0,17.0,0.0,31.0,0.0
2020-02-25,45.0,84.0,37.0,29.0,47.0,0.0,35.0,0.0,41.0,0.0
2020-02-26,37.0,40.0,28.0,19.0,33.0,0.0,33.0,65.0,20.0,0.0
2020-02-27,30.0,38.0,37.0,35.0,40.0,0.0,32.0,31.0,38.0,0.0
2020-02-28,52.0,0.0,44.0,40.0,20.0,0.0,0.0,58.0,84.0,0.0
2020-02-29,54.0,49.0,54.0,22.0,54.0,93.0,30.0,78.0,23.0,0.0
2020-03-01,66.0,0.0,48.0,33.0,69.0,0.0,30.0,38.0,47.0,0.0
2020-03-02,37.0,0.0,44.0,19.0,35.0,0.0,17.0,34.0,41.0,86.0
2020-03-03,43.0,42.0,35.0,20.0,46.0,0.0,35.0,46.0,21.0,0.0
2020-03-04,37.0,0.0,40.0,20.0,30.0,0.0,35.0,51.0,27.0,0.0
2020-03-05,37.0,0.0,40.0,60.0,31.0,0.0,36.0,47.0,21.0,0.0
2020-03-06,49.0,44.0,49.0,20.0,40.0,0.0,36.0,35.0,0.0,0.0
2020-03-07,45.0,48.0,57.0,22.0,20.0,0.0,40.0,59.0,24.0,0.0
2020-03-08,63.0,0.0,52.0,32.0,58.0,0.0,0.0,75.0,23.0,0.0
2020-03-09,30.0,41.0,30.0,19.0,25.0,0.0,34.0,44.0,20.0,0.0
2020-03-10,43.0,66.0,31.0,18.0,41.0,0.0,57.0,96.0,19.0,0.0
2020-03-11,35.0,41.0,41.0,19.0,47.0,0.0,17.0,66.0,0.0,85.0
2020-03-12,31.0,40.0,49.0,18.0,24.0,0.0,16.0,0.0,0.0,82.0
2020-03-13,60.0,0.0,100.0,18.0,12.0,0.0,16.0,31.0,19.0,81.0
2020-03-14,55.0,0.0,69.0,66.0,22.0,0.0,19.0,77.0,23.0,98.0
2020-03-15,48.0,46.0,56.0,32.0,21.0,0.0,19.0,37.0,34.0,96.0
2020-03-16,63.0,40.0,38.0,18.0,16.0,0.0,16.0,0.0,19.0,0.0
2020-03-17,49.0,0.0,32.0,18.0,12.0,0.0,16.0,32.0,19.0,0.0
2020-03-18,44.0,0.0,27.0,19.0,17.0,0.0,33.0,33.0,20.0,0.0
2020-03-19,50.0,0.0,26.0,19.0,19.0,0.0,25.0,32.0,33.0,0.0
2020-03-20,64.0,0.0,38.0,18.0,24.0,0.0,16.0,31.0,38.0,80.0
2020-03-21,92.0,0.0,42.0,41.0,27.0,0.0,18.0,36.0,32.0,0.0
2020-03-22,63.0,0.0,42.0,0.0,27.0,0.0,36.0,0.0,43.0,0.0
2020-03-23,47.0,35.0,25.0,33.0,32.0,0.0,0.0,0.0,17.0,0.0
2020-03-24,38.0,0.0,35.0,35.0,47.0,0.0,48.0,0.0,19.0,0.0
2020-03-25,64.0,0.0,34.0,37.0,19.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,54.0,40.0,37.0,18.0,12.0,0.0,16.0,0.0,39.0,0.0
2020-03-27,37.0,0.0,36.0,18.0,0.0,0.0,0.0,0.0,19.0,0.0
2020-03-28,75.0,0.0,40.0,41.0,54.0,0.0,0.0,0.0,21.0,90.0
2020-03-29,83.0,0.0,36.0,29.0,0.0,0.0,17.0,0.0,82.0,0.0
2020-03-30,32.0,0.0,37.0,35.0,11.0,0.0,15.0,0.0,18.0,0.0
2020-03-31,58.0,38.0,28.0,27.0,12.0,0.0,0.0,31.0,19.0,0.0
2020-04-01,55.0,0.0,38.0,35.0,17.0,0.0,46.0,0.0,0.0,77.0
2020-04-02,34.0,0.0,35.0,34.0,19.0,0.0,15.0,0.0,18.0,0.0
2020-04-03,62.0,0.0,40.0,18.0,12.0,0.0,31.0,0.0,43.0,0.0
2020-04-04,57.0,45.0,39.0,72.0,14.0,0.0,18.0,0.0,22.0,0.0
2020-04-05,68.0,40.0,31.0,38.0,13.0,0.0,17.0,0.0,20.0,0.0
2020-04-06,45.0,0.0,29.0,17.0,15.0,0.0,15.0,0.0,18.0,0.0
2020-04-07,46.0,0.0,26.0,17.0,17.0,0.0,23.0,0.0,36.0,0.0
2020-04-08,41.0,0.0,31.0,17.0,15.0,0.0,31.0,30.0,18.0,0.0
2020-04-09,59.0,35.0,38.0,58.0,26.0,0.0,29.0,0.0,17.0,0.0
2020-04-10,67.0,0.0,45.0,18.0,20.0,0.0,0.0,31.0,47.0,0.0
2020-04-11,86.0,0.0,43.0,19.0,25.0,0.0,17.0,0.0,20.0,0.0
2020-04-12,64.0,0.0,38.0,40.0,27.0,0.0,18.0,0.0,32.0,0.0
2020-04-13,44.0,0.0,35.0,0.0,12.0,0.0,0.0,30.0,43.0,0.0
2020-04-14,51.0,0.0,29.0,25.0,34.0,0.0,23.0,29.0,18.0,0.0
2020-04-15,58.0,37.0,35.0,0.0,17.0,71.0,15.0,0.0,0.0,75.0
2020-04-16,54.0,37.0,39.0,51.0,17.0,0.0,15.0,30.0,36.0,0.0
2020-04-17,51.0,38.0,41.0,26.0,12.0,72.0,23.0,0.0,27.0,0.0
2020-04-18,57.0,0.0,51.0,100.0,13.0,0.0,18.0,0.0,21.0,89.0
2020-04-19,58.0,0.0,46.0,18.0,12.0,0.0,16.0,0.0,29.0,0.0
2020-04-20,44.0,0.0,37.0,34.0,19.0,0.0,15.0,0.0,0.0,76.0
2020-04-21,49.0,0.0,30.0,58.0,11.0,0.0,15.0,0.0,18.0,74.0
2020-04-22,48.0,0.0,29.0,17.0,11.0,0.0,15.0,0.0,18.0,0.0
2020-04-23,39.0,0.0,34.0,34.0,34.0,0.0,46.0,0.0,27.0,77.0
2020-04-24,59.0,0.0,37.0,36.0,24.0,0.0,32.0,0.0,19.0,80.0
2020-04-25,59.0,45.0,36.0,63.0,14.0,87.0,19.0,0.0,22.0,0.0
2020-04-26,57.0,0.0,40.0,0.0,13.0,0.0,17.0,0.0,31.0,0.0
2020-04-27,49.0,0.0,28.0,17.0,28.0,0.0,0.0,0.0,27.0,0.0
2020-04-28,35.0,0.0,36.0,53.0,16.0,0.0,0.0,0.0,19.0,0.0
2020-04-29,44.0,0.0,41.0,27.0,24.0,0.0,16.0,0.0,0.0,0.0
2020-04-30,39.0,35.0,41.0,24.0,22.0,0.0,22.0,0.0,34.0,72.0
2020-05-01,32.0,38.0,41.0,18.0,12.0,0.0,16.0,0.0,18.0,0.0
2020-05-02,59.0,0.0,47.0,52.0,14.0,0.0,37.0,0.0,37.0,0.0
2020-05-03,57.0,0.0,41.0,40.0,18.0,0.0,18.0,0.0,64.0,0.0
2020-05-04,44.0,0.0,36.0,50.0,33.0,0.0,0.0,0.0,18.0,74.0
2020-05-05,33.0,0.0,40.0,40.0,0.0,0.0,43.0,0.0,67.0,0.0
2020-05-06,26.0,0.0,43.0,27.0,12.0,0.0,32.0,0.0,56.0,0.0
2020-05-07,28.0,38.0,35.0,44.0,29.0,0.0,31.0,0.0,0.0,0.0
2020-05-08,47.0,38.0,40.0,18.0,29.0,0.0,0.0,30.0,18.0,0.0
2020-05-09,55.0,0.0,34.0,0.0,13.0,0.0,42.0,0.0,0.0,0.0
2020-05-10,52.0,83.0,35.0,29.0,44.0,0.0,25.0,33.0,30.0,0.0
2020-05-11,19.0,37.0,35.0,17.0,0.0,0.0,15.0,0.0,27.0,0.0
2020-05-12,33.0,0.0,35.0,17.0,11.0,0.0,15.0,0.0,36.0,76.0
2020-05-13,38.0,0.0,38.0,17.0,23.0,0.0,16.0,30.0,28.0,78.0
2020-05-14,46.0,0.0,38.0,44.0,18.0,0.0,32.0,31.0,18.0,0.0
2020-05-15,43.0,0.0,38.0,17.0,17.0,0.0,16.0,0.0,37.0,0.0
2020-05-16,38.0,0.0,44.0,63.0,21.0,0.0,37.0,0.0,44.0,0.0
2020-05-17,34.0,91.0,44.0,43.0,19.0,0.0,19.0,37.0,23.0,0.0
2020-05-18,47.0,0.0,36.0,20.0,26.0,0.0,17.0,0.0,31.0,0.0
2020-05-19,32.0,0.0,34.0,0.0,12.0,0.0,15.0,0.0,37.0,0.0
2020-05-20,34.0,38.0,32.0,27.0,12.0,0.0,16.0,31.0,19.0,0.0
2020-05-21,24.0,0.0,39.0,45.0,28.0,0.0,49.0,32.0,26.0,0.0
