,Facebook,Instagram,Snapchat,Twitter,WeChat,WhatsApp,Skype,Tik Tok,Tumblr,Pinterest
2020-02-12,79.0,69.0,31.0,73.0,29.0,71.0,9.0,40.0,46.0,71.0
2020-02-13,76.0,68.0,43.0,64.0,30.0,47.0,18.0,40.0,58.0,85.0
2020-02-14,78.0,68.0,27.0,53.0,30.0,44.0,17.0,57.0,55.0,74.0
2020-02-15,71.0,75.0,31.0,64.0,33.0,51.0,5.0,50.0,84.0,64.0
2020-02-16,70.0,83.0,49.0,78.0,0.0,52.0,13.0,72.0,45.0,48.0
2020-02-17,74.0,66.0,46.0,73.0,28.0,53.0,15.0,42.0,64.0,72.0
2020-02-18,76.0,69.0,42.0,65.0,28.0,47.0,23.0,42.0,39.0,89.0
2020-02-19,74.0,62.0,45.0,67.0,28.0,55.0,22.0,44.0,83.0,75.0
2020-02-20,75.0,71.0,32.0,66.0,0.0,41.0,6.0,45.0,52.0,59.0
2020-02-21,76.0,62.0,37.0,49.0,29.0,48.0,6.0,44.0,66.0,83.0
2020-02-22,68.0,68.0,37.0,52.0,32.0,46.0,13.0,61.0,59.0,57.0
2020-02-23,72.0,74.0,40.0,72.0,32.0,43.0,5.0,61.0,85.0,81.0
2020-02-24,74.0,64.0,29.0,66.0,28.0,59.0,17.0,44.0,68.0,79.0
2020-02-25,73.0,62.0,41.0,57.0,28.0,69.0,14.0,39.0,43.0,69.0
2020-02-26,73.0,65.0,34.0,68.0,27.0,62.0,10.0,49.0,34.0,66.0
2020-02-27,76.0,57.0,29.0,57.0,51.0,38.0,19.0,40.0,47.0,61.0
2020-02-28,76.0,72.0,23.0,62.0,0.0,30.0,10.0,47.0,37.0,74.0
2020-02-29,70.0,73.0,43.0,51.0,33.0,40.0,10.0,74.0,73.0,59.0
2020-03-01,67.0,70.0,32.0,56.0,32.0,36.0,8.0,47.0,59.0,69.0
2020-03-02,71.0,67.0,33.0,60.0,57.0,44.0,15.0,75.0,56.0,64.0
2020-03-03,74.0,67.0,40.0,57.0,57.0,81.0,10.0,54.0,44.0,82.0
2020-03-04,76.0,68.0,40.0,61.0,28.0,45.0,22.0,52.0,68.0,61.0
2020-03-05,73.0,68.0,43.0,61.0,44.0,56.0,18.0,57.0,83.0,64.0
2020-03-06,74.0,68.0,40.0,66.0,29.0,41.0,12.0,40.0,70.0,68.0
2020-03-07,70.0,76.0,29.0,62.0,65.0,54.0,10.0,56.0,50.0,62.0
2020-03-08,76.0,70.0,35.0,57.0,0.0,44.0,5.0,65.0,62.0,58.0
2020-03-09,72.0,64.0,39.0,67.0,27.0,45.0,17.0,55.0,65.0,79.0
2020-03-10,72.0,61.0,23.0,58.0,0.0,61.0,12.0,57.0,53.0,70.0
2020-03-11,74.0,60.0,26.0,50.0,56.0,56.0,23.0,55.0,67.0,57.0
2020-03-12,70.0,53.0,39.0,98.0,0.0,43.0,19.0,31.0,79.0,53.0
2020-03-13,77.0,52.0,21.0,98.0,0.0,44.0,30.0,41.0,52.0,54.0
2020-03-14,82.0,69.0,31.0,64.0,32.0,49.0,26.0,71.0,81.0,55.0
2020-03-15,86.0,74.0,25.0,70.0,31.0,69.0,24.0,66.0,70.0,57.0
2020-03-16,85.0,64.0,30.0,82.0,53.0,53.0,85.0,46.0,34.0,64.0
2020-03-17,86.0,68.0,32.0,70.0,40.0,56.0,88.0,46.0,60.0,66.0
2020-03-18,89.0,71.0,43.0,81.0,0.0,86.0,84.0,52.0,65.0,48.0
2020-03-19,88.0,61.0,58.0,66.0,36.0,67.0,61.0,65.0,57.0,68.0
2020-03-20,89.0,66.0,46.0,80.0,52.0,68.0,96.0,57.0,66.0,61.0
2020-03-21,94.0,88.0,59.0,65.0,50.0,88.0,57.0,48.0,50.0,88.0
2020-03-22,93.0,82.0,42.0,63.0,0.0,100.0,59.0,65.0,71.0,55.0
2020-03-23,87.0,67.0,34.0,71.0,24.0,79.0,100.0,60.0,83.0,57.0
2020-03-24,92.0,73.0,44.0,77.0,52.0,80.0,96.0,55.0,69.0,67.0
2020-03-25,92.0,72.0,33.0,71.0,55.0,84.0,95.0,44.0,61.0,79.0
2020-03-26,92.0,90.0,30.0,74.0,27.0,79.0,88.0,58.0,75.0,64.0
2020-03-27,92.0,74.0,49.0,72.0,26.0,80.0,61.0,68.0,55.0,56.0
2020-03-28,98.0,79.0,40.0,55.0,39.0,80.0,59.0,73.0,79.0,74.0
2020-03-29,97.0,71.0,54.0,79.0,85.0,94.0,72.0,82.0,64.0,100.0
2020-03-30,88.0,77.0,47.0,60.0,25.0,66.0,62.0,52.0,32.0,64.0
2020-03-31,90.0,69.0,33.0,69.0,0.0,93.0,66.0,51.0,55.0,61.0
2020-04-01,88.0,77.0,21.0,49.0,50.0,67.0,48.0,71.0,57.0,78.0
2020-04-02,91.0,72.0,37.0,77.0,25.0,81.0,79.0,65.0,56.0,72.0
2020-04-03,86.0,71.0,40.0,70.0,26.0,93.0,60.0,69.0,47.0,86.0
2020-04-04,87.0,80.0,48.0,64.0,30.0,81.0,63.0,100.0,68.0,58.0
2020-04-05,87.0,75.0,30.0,64.0,27.0,76.0,69.0,70.0,78.0,76.0
2020-04-06,83.0,66.0,30.0,62.0,24.0,72.0,51.0,65.0,58.0,69.0
2020-04-07,87.0,72.0,48.0,65.0,25.0,56.0,63.0,65.0,42.0,60.0
2020-04-08,85.0,63.0,100.0,64.0,50.0,61.0,60.0,61.0,87.0,86.0
2020-04-09,80.0,68.0,38.0,63.0,24.0,69.0,58.0,75.0,91.0,65.0
2020-04-10,86.0,76.0,41.0,69.0,26.0,64.0,57.0,61.0,40.0,81.0
2020-04-11,92.0,80.0,59.0,65.0,28.0,63.0,61.0,71.0,86.0,84.0
2020-04-12,100.0,76.0,72.0,57.0,44.0,94.0,77.0,95.0,66.0,90.0
2020-04-13,84.0,75.0,64.0,65.0,38.0,50.0,38.0,51.0,54.0,82.0
2020-04-14,86.0,72.0,42.0,64.0,74.0,71.0,49.0,54.0,62.0,89.0
2020-04-15,86.0,66.0,37.0,63.0,0.0,64.0,54.0,57.0,73.0,91.0
2020-04-16,84.0,80.0,48.0,59.0,0.0,66.0,47.0,66.0,67.0,80.0
2020-04-17,85.0,70.0,46.0,66.0,25.0,53.0,36.0,70.0,46.0,61.0
2020-04-18,88.0,79.0,42.0,67.0,0.0,63.0,36.0,92.0,70.0,90.0
2020-04-19,82.0,77.0,40.0,67.0,27.0,59.0,30.0,82.0,45.0,93.0
2020-04-20,83.0,67.0,33.0,72.0,25.0,61.0,51.0,64.0,49.0,73.0
2020-04-21,82.0,68.0,44.0,65.0,36.0,55.0,40.0,68.0,92.0,76.0
2020-04-22,80.0,68.0,24.0,60.0,37.0,61.0,51.0,56.0,35.0,88.0
2020-04-23,77.0,75.0,48.0,71.0,50.0,73.0,37.0,59.0,32.0,81.0
2020-04-24,82.0,74.0,31.0,84.0,26.0,42.0,35.0,67.0,30.0,75.0
2020-04-25,87.0,74.0,53.0,77.0,30.0,76.0,25.0,46.0,47.0,67.0
2020-04-26,82.0,77.0,39.0,69.0,43.0,82.0,29.0,50.0,100.0,80.0
2020-04-27,80.0,64.0,29.0,63.0,25.0,46.0,35.0,77.0,45.0,74.0
2020-04-28,82.0,68.0,47.0,66.0,26.0,59.0,40.0,68.0,76.0,76.0
2020-04-29,78.0,68.0,48.0,64.0,0.0,50.0,43.0,48.0,52.0,61.0
2020-04-30,77.0,63.0,35.0,66.0,23.0,60.0,40.0,73.0,86.0,75.0
2020-05-01,82.0,68.0,48.0,63.0,25.0,60.0,31.0,57.0,72.0,66.0
2020-05-02,79.0,77.0,40.0,68.0,0.0,53.0,37.0,70.0,51.0,65.0
2020-05-03,81.0,71.0,33.0,54.0,29.0,61.0,27.0,58.0,41.0,89.0
2020-05-04,73.0,64.0,27.0,73.0,32.0,67.0,41.0,59.0,55.0,68.0
2020-05-05,76.0,66.0,30.0,56.0,23.0,53.0,23.0,65.0,43.0,79.0
2020-05-06,78.0,65.0,40.0,65.0,26.0,54.0,34.0,52.0,43.0,97.0
2020-05-07,74.0,71.0,30.0,79.0,26.0,63.0,25.0,41.0,65.0,77.0
2020-05-08,79.0,69.0,24.0,62.0,51.0,80.0,37.0,61.0,75.0,66.0
2020-05-09,78.0,78.0,28.0,61.0,27.0,47.0,25.0,64.0,46.0,72.0
2020-05-10,86.0,75.0,31.0,64.0,28.0,62.0,27.0,59.0,86.0,72.0
2020-05-11,79.0,68.0,27.0,57.0,0.0,58.0,40.0,58.0,52.0,74.0
2020-05-12,78.0,67.0,30.0,68.0,25.0,52.0,28.0,57.0,60.0,72.0
2020-05-13,75.0,71.0,30.0,59.0,76.0,45.0,23.0,54.0,50.0,69.0
2020-05-14,76.0,61.0,24.0,61.0,26.0,65.0,23.0,56.0,69.0,67.0
2020-05-15,77.0,71.0,34.0,53.0,25.0,63.0,25.0,65.0,71.0,66.0
2020-05-16,76.0,76.0,55.0,68.0,0.0,60.0,16.0,54.0,60.0,72.0
2020-05-17,84.0,73.0,35.0,73.0,46.0,59.0,19.0,71.0,75.0,81.0
2020-05-18,77.0,73.0,36.0,63.0,0.0,75.0,17.0,53.0,64.0,64.0
2020-05-19,75.0,65.0,33.0,61.0,0.0,62.0,27.0,54.0,60.0,90.0
2020-05-20,74.0,62.0,41.0,67.0,0.0,45.0,24.0,42.0,58.0,57.0
2020-05-21,79.0,66.0,29.0,50.0,26.0,57.0,23.0,43.0,37.0,80.0
