,cats,dogs,cat coronavirus,dog coronavirus,adopt a cat,adopt a dog,adopt a pet,adopt a puppy,Humane Society,SPCA
2020-03-26,15.0,75.0,41.0,30.0,0.0,0.0,0.0,0.0,41.0,71.0
2020-03-27,40.0,46.0,45.0,59.0,0.0,46.0,0.0,77.0,27.0,79.0
2020-03-28,33.0,84.0,51.0,51.0,88.0,53.0,0.0,0.0,0.0,87.0
2020-03-29,46.0,85.0,33.0,64.0,0.0,0.0,0.0,0.0,0.0,78.0
2020-03-30,30.0,69.0,77.0,28.0,0.0,45.0,0.0,0.0,26.0,65.0
2020-03-31,46.0,79.0,0.0,59.0,0.0,0.0,0.0,0.0,26.0,67.0
2020-04-01,46.0,51.0,29.0,29.0,0.0,0.0,0.0,76.0,26.0,63.0
2020-04-02,38.0,72.0,86.0,29.0,0.0,0.0,0.0,0.0,26.0,63.0
2020-04-03,43.0,78.0,30.0,29.0,0.0,47.0,0.0,77.0,26.0,69.0
2020-04-04,47.0,53.0,35.0,51.0,90.0,0.0,0.0,0.0,31.0,97.0
2020-04-05,41.0,70.0,48.0,47.0,0.0,0.0,0.0,0.0,0.0,58.0
2020-04-06,29.0,60.0,28.0,55.0,73.0,0.0,0.0,0.0,25.0,66.0
2020-04-07,40.0,52.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,73.0
2020-04-08,30.0,75.0,28.0,29.0,0.0,0.0,0.0,74.0,25.0,62.0
2020-04-09,34.0,97.0,46.0,45.0,0.0,0.0,0.0,0.0,0.0,54.0
2020-04-10,47.0,85.0,45.0,0.0,0.0,46.0,51.0,0.0,26.0,62.0
2020-04-11,45.0,92.0,32.0,47.0,0.0,0.0,0.0,0.0,0.0,73.0
2020-04-12,37.0,62.0,0.0,33.0,0.0,52.0,0.0,0.0,30.0,57.0
2020-04-13,47.0,77.0,0.0,0.0,0.0,0.0,0.0,76.0,26.0,71.0
2020-04-14,31.0,65.0,71.0,28.0,0.0,0.0,0.0,0.0,50.0,68.0
2020-04-15,36.0,72.0,100.0,28.0,0.0,44.0,0.0,0.0,25.0,78.0
2020-04-16,33.0,68.0,29.0,29.0,0.0,0.0,49.0,0.0,0.0,44.0
2020-04-17,25.0,87.0,29.0,43.0,76.0,0.0,0.0,0.0,52.0,70.0
2020-04-18,45.0,95.0,50.0,88.0,0.0,0.0,0.0,0.0,30.0,80.0
2020-04-19,30.0,79.0,93.0,30.0,0.0,0.0,52.0,0.0,0.0,90.0
2020-04-20,27.0,74.0,29.0,42.0,0.0,0.0,0.0,0.0,0.0,60.0
2020-04-21,29.0,70.0,28.0,28.0,0.0,43.0,48.0,0.0,25.0,49.0
2020-04-22,32.0,68.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
2020-04-23,46.0,70.0,58.0,47.0,0.0,45.0,0.0,0.0,38.0,61.0
2020-04-24,42.0,73.0,41.0,60.0,78.0,0.0,51.0,0.0,27.0,51.0
2020-04-25,48.0,80.0,70.0,34.0,0.0,0.0,0.0,0.0,0.0,67.0
2020-04-26,55.0,100.0,33.0,48.0,85.0,51.0,0.0,85.0,0.0,89.0
2020-04-27,34.0,63.0,0.0,28.0,0.0,0.0,48.0,0.0,0.0,65.0
2020-04-28,41.0,83.0,0.0,29.0,0.0,0.0,0.0,0.0,53.0,54.0
2020-04-29,39.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,54.0
2020-04-30,29.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0
2020-05-01,42.0,65.0,60.0,29.0,0.0,46.0,0.0,0.0,0.0,66.0
2020-05-02,50.0,84.0,0.0,0.0,0.0,54.0,0.0,0.0,47.0,97.0
2020-05-03,46.0,83.0,0.0,33.0,0.0,0.0,57.0,0.0,30.0,46.0
2020-05-04,42.0,68.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,50.0
2020-05-05,37.0,86.0,0.0,0.0,0.0,42.0,46.0,70.0,0.0,42.0
2020-05-06,37.0,71.0,0.0,0.0,76.0,0.0,0.0,0.0,26.0,60.0
2020-05-07,29.0,97.0,29.0,29.0,0.0,0.0,0.0,0.0,52.0,65.0
2020-05-08,50.0,78.0,0.0,44.0,0.0,0.0,100.0,0.0,0.0,80.0
2020-05-09,52.0,88.0,0.0,31.0,0.0,0.0,53.0,0.0,56.0,75.0
2020-05-10,39.0,82.0,0.0,94.0,0.0,100.0,0.0,0.0,85.0,60.0
2020-05-11,50.0,87.0,0.0,0.0,74.0,0.0,49.0,0.0,0.0,54.0
2020-05-12,27.0,70.0,29.0,28.0,0.0,0.0,0.0,0.0,0.0,75.0
2020-05-13,45.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,76.0
2020-05-14,28.0,71.0,30.0,29.0,0.0,0.0,51.0,77.0,39.0,70.0
2020-05-15,42.0,82.0,0.0,29.0,0.0,91.0,0.0,0.0,0.0,68.0
2020-05-16,61.0,88.0,0.0,35.0,0.0,0.0,0.0,0.0,31.0,75.0
2020-05-17,57.0,93.0,36.0,0.0,0.0,0.0,0.0,0.0,31.0,69.0
2020-05-18,45.0,65.0,0.0,0.0,85.0,51.0,56.0,0.0,29.0,61.0
2020-05-19,32.0,78.0,0.0,0.0,0.0,0.0,49.0,0.0,26.0,59.0
2020-05-20,46.0,71.0,0.0,29.0,0.0,93.0,0.0,0.0,26.0,60.0
2020-05-21,33.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,60.0
